ID,a_hol,h_hol,AIC_hol,BIC_hol,R_hol,a_gen,h_gen,q_gen,AIC_gen,BIC_gen,R_gen,a_hol_I,AIC_hol_I,BIC_hol_I,R_hol_I,p3_c0,p3_c1,p3_c2,p3_c3,AIC_p3,BIC_p3,R_p3,p2_c0,p2_c1,p2_c2,AIC_p2,BIC_p2,R_p2
39863,1.9294595024366146e-05,198.0904816292054,-86.4297714914832,-87.21089566661499,0.9572397259912178,,,,,,,1.3998059388731221e-05,-86.11929373303926,-86.50985582060515,0.9320224942274942,-3.7967737151856026e-05,1.1114397008778107e-05,2.1259489833642468e-07,-1.6548290871227553e-09,-92.95063163034702,-94.51287998061062,0.9947744946310761,-0.00022770482845054296,2.791327411309514e-05,-1.1118811651890727e-07,-90.06737487723709,-91.23906113993479,0.9861234153083616
39864,6.540943666122345e-05,506.08856278188966,-90.26669647947085,-91.04782065460265,0.965568656782432,8.208043474011717e-06,632.586249840337,0.7638657435005516,-105.8594355699457,-107.03112183264341,0.9989788969929241,1.6027815722852168e-05,-76.07405545374449,-76.46461754131039,0.2865216171578967,-0.0001029721458368985,5.5029493996911666e-05,-6.29160167948655e-07,2.3497769978567006e-09,-101.05433388524047,-102.61658223550407,0.9982105572879522,0.00016644531620993485,3.117590372785345e-05,-1.6940399945721012e-07,-88.63597229009687,-89.80765855279458,0.9680050986799795
39865,1.0948666431032095e-05,677.5716800537588,-99.07588305656878,-99.85700723170058,0.9751544311175427,1.0948761888451841e-05,677.5808278574063,1.858069254012662e-12,-97.07588306017918,-98.24756932287688,0.9751544281200116,6.372309969027157e-06,-94.2629946735062,-94.6535567610721,0.9057940517643558,3.863697490593188e-05,1.0391352467624868e-05,-9.270957108922581e-08,4.4600351800903544e-10,-102.33108231189452,-103.89333066215812,0.9941725931858563,8.977422580061535e-05,5.863780197213672e-06,-5.444750316627462e-09,-101.4338980368425,-102.60558429954021,0.9895978870258597
39866,2.2454371663149786e-05,240.28183309312115,-89.31147989316248,-90.09260406829428,0.970288055801844,0.009237966364612937,1158.798397656857,132.3091392831047,-69.73388134933661,-70.90556761203432,0.0,1.4701599637900742e-05,-86.90997010079288,-87.30053218835877,0.929568933206336,5.9252036593828704e-05,2.297493312795091e-05,-1.8352520394182156e-07,8.724812117387924e-10,-87.77802326710909,-89.3402716173727,0.9818453469285436,0.000159287773587007,1.4118003571975328e-05,-1.281597521259274e-08,-89.02062826630672,-90.19231452900442,0.9788760832126915
39867,1.9932564692126675e-05,842.5493570030617,-99.10030464291955,-99.88142881805135,0.9816587708435519,3.6570756183351705e-06,1171.335892788232,0.5928578486593576,-108.05144939258633,-109.22313565528404,0.9979465149127741,7.682355895211046e-06,-87.06054302385385,-87.45110511141975,0.7145016423493484,-0.00010990097807731441,2.5041947340388325e-05,-2.728394576302248e-07,1.048461603205308e-09,-117.47528705298105,-119.03753540324465,0.9997909573741288,1.0312073819432072e-05,1.439856564139678e-05,-6.769799529582059e-08,-96.93826511221495,-98.10995137491265,0.9810427339287145
39868,5.236627745164313e-05,471.76358944727826,-103.11160117329436,-103.52808223483825,0.931255318271001,9.831344959243538e-06,578.2074890111244,0.5757879448826773,-103.07424944931262,-103.69897104162845,0.9504137857429237,1.2971555051644046e-05,-91.19098551802014,-91.39922604879209,0.3969662078686027,9.803324319936925e-05,2.9486519771251693e-05,-1.6005468835204713e-07,2.0152074024650526e-10,-101.44809785825737,-102.28105998134515,0.9534091160146105,0.00014520310642317293,2.598904324131254e-05,-1.0825175736708113e-07,-103.3145162995993,-103.93923789191514,0.9523602025654949
39869,9.525159287604446e-05,173.14793369039515,-91.60420720764425,-92.02068826918814,0.9303301274183217,,,,,,,3.134307113383805e-05,-83.14572454864296,-83.3539650794149,0.6327030181597215,-0.0004627807373254298,0.00011418583772668508,-1.1173035155657528e-06,3.6869846631950435e-09,-91.27329361908986,-92.10625574217764,0.9621969132975337,0.00040022999823677427,5.019668053126949e-05,-1.6952706428590787e-07,-88.06439278869456,-88.6891143810104,0.909934165578968
39870,5.8899012653101934e-05,104.93296182567629,-101.64118640894668,-102.05766747049057,0.9898407555385342,5.8899039048654345e-05,104.933028311817,1.1521894549559875e-11,-99.64118640861341,-100.26590800092924,0.9898407555018052,3.300241724368824e-05,-90.81897350287016,-91.02721403364211,0.9160118976197434,0.0003505723457946993,4.127107608921396e-05,-1.0404769350574221e-07,1.2694653485696825e-10,-101.19639151873196,-102.02935364181974,0.9943805347208089,0.0003802866604533995,3.9067866009317206e-05,-7.141481127271758e-08,-103.14520926808304,-103.76993086039887,0.9943323935348077
39871,9.616377118937258e-05,110.46321873497675,-87.17568449257472,-87.59216555411861,0.927439758818575,9.616416500324299e-05,110.46334413201748,3.169402755798245e-07,-85.17568445568101,-85.80040604799684,0.9274397620422012,4.136311720426278e-05,-82.48164148654207,-82.68988201731402,0.7870707548015504,-0.0009262491634607094,0.0001618237808128583,-1.732231594985499e-06,6.242006645035403e-09,-92.44186706745042,-93.2748291905382,0.9845116163014952,0.0005348143445843814,5.349115105955959e-05,-1.2766107264158594e-07,-83.87969545635414,-84.50441704866998,0.9099421502055812
39873,1.997544707510457e-05,1014.3839393660164,-113.59896475481123,-114.01544581635513,0.9354345542399172,,,,,,,5.731195266145406e-06,-102.794440874119,-103.00268140489095,0.5235061629431719,0.00016768956456156758,4.389507368698759e-06,3.740403238509241e-08,-2.722356259302315e-10,-113.39516537543784,-114.22812749852562,0.9657038597549674,0.00010396750188916825,9.11427024491482e-06,-3.257687044635848e-08,-113.81674903754997,-114.4414706298658,0.9553835686012873
39874,5.434780480362278e-05,388.57885269166286,-105.33313813079633,-105.74961919234022,0.9639668653131329,0.03980570053856436,767.7724553244439,12.393880921241886,-83.39352937928413,-84.01825097159997,1.2212453270876722e-15,1.5108819589881861e-05,-90.86912731539272,-91.07736784616466,0.5096110061166211,0.00016170788884785695,3.072447487179936e-05,-1.634013236507157e-07,2.4309684336071954e-10,-102.7423308891174,-103.57529301220518,0.9715080470717701,0.00021860945062972208,2.6505427725007462e-05,-1.0091083763982563e-07,-104.50327019161718,-105.12799178393301,0.97034991051173
